               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.051063,            0.070783,            0.026388,             0.63891,             0.47683,             0.52121,             0.32956,            0.045055,            0.050516,            0.018281,            0.007393,            0.007393,            0.007393
                  81,            0.051132,            0.071019,            0.026425,             0.64011,             0.47765,             0.52114,             0.32947,            0.045039,            0.050506,            0.018272,             0.00736,             0.00736,             0.00736
                  82,            0.051178,            0.071039,            0.026313,             0.63788,             0.47825,             0.52095,             0.32944,            0.045033,            0.050502,            0.018265,            0.007327,            0.007327,            0.007327
                  83,            0.051074,            0.070683,            0.026411,             0.63603,             0.47921,             0.52157,             0.32939,            0.045025,            0.050499,            0.018252,            0.007294,            0.007294,            0.007294
                  84,            0.051124,            0.071042,            0.026336,             0.63482,             0.47865,              0.5222,             0.32998,            0.045015,            0.050492,            0.018232,            0.007261,            0.007261,            0.007261
                  85,            0.051028,            0.070799,            0.026267,              0.6326,             0.47905,             0.52249,             0.33013,            0.045003,            0.050478,            0.018207,            0.007228,            0.007228,            0.007228
                  86,            0.051011,            0.070587,            0.026273,             0.63157,             0.47914,             0.52286,             0.33052,            0.044994,             0.05047,            0.018185,            0.007195,            0.007195,            0.007195
                  87,            0.051037,            0.070474,            0.026214,             0.63334,             0.47878,             0.52299,             0.33076,            0.044981,            0.050461,            0.018168,            0.007162,            0.007162,            0.007162
                  88,            0.050916,            0.070581,            0.026186,             0.63446,               0.479,             0.52312,             0.33085,             0.04497,            0.050446,            0.018157,            0.007129,            0.007129,            0.007129
                  89,            0.050908,            0.070139,            0.026211,             0.63697,             0.47876,             0.52313,             0.33072,            0.044967,            0.050435,            0.018148,            0.007096,            0.007096,            0.007096
                  90,            0.050951,            0.070525,             0.02625,             0.63558,             0.47885,             0.52304,             0.33101,             0.04496,             0.05042,            0.018129,            0.007063,            0.007063,            0.007063
                  91,            0.050961,            0.070942,            0.026067,             0.63364,              0.4818,             0.52341,              0.3313,            0.044956,            0.050412,            0.018118,             0.00703,             0.00703,             0.00703
                  92,            0.050906,            0.070124,            0.026173,             0.63631,             0.48085,             0.52322,             0.33146,            0.044942,            0.050409,            0.018111,            0.006997,            0.006997,            0.006997
                  93,            0.050873,            0.070427,            0.026159,             0.63338,             0.48167,             0.52333,             0.33123,             0.04493,            0.050392,              0.0181,            0.006964,            0.006964,            0.006964
                  94,            0.050852,            0.070575,            0.026186,              0.6375,             0.47915,              0.5231,             0.33111,            0.044923,            0.050394,            0.018086,            0.006931,            0.006931,            0.006931
                  95,              0.0509,            0.070511,            0.026111,             0.63687,              0.4801,             0.52352,             0.33122,            0.044919,             0.05038,            0.018077,            0.006898,            0.006898,            0.006898
                  96,            0.050849,            0.070675,            0.026135,             0.63636,             0.47989,             0.52368,             0.33125,            0.044915,            0.050377,            0.018067,            0.006865,            0.006865,            0.006865
                  97,            0.050834,            0.070552,            0.026016,             0.63551,             0.47906,             0.52381,             0.33149,            0.044905,            0.050369,            0.018051,            0.006832,            0.006832,            0.006832
                  98,            0.050851,            0.070284,            0.025945,             0.63692,              0.4796,             0.52415,             0.33194,             0.04489,             0.05036,            0.018036,            0.006799,            0.006799,            0.006799
                  99,            0.050706,            0.070569,             0.02591,             0.63547,             0.48035,             0.52429,             0.33198,            0.044878,            0.050351,            0.018024,            0.006766,            0.006766,            0.006766
                 100,            0.050762,            0.070433,            0.025887,             0.63586,             0.47967,             0.52433,             0.33262,            0.044864,            0.050344,            0.018013,            0.006733,            0.006733,            0.006733
                 101,            0.050674,              0.0702,            0.025894,             0.63687,             0.48064,             0.52456,               0.333,             0.04485,            0.050331,            0.018004,              0.0067,              0.0067,              0.0067
