               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.023382,             0.01846,           0.0019815,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005083,            0.005083,            0.005083
                 151,            0.023751,            0.019087,           0.0015909,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                 152,            0.022716,             0.01914,           0.0020108,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.005017,            0.005017,            0.005017
                 153,            0.022315,            0.018196,           0.0018126,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004984,            0.004984,            0.004984
                 154,            0.024189,            0.019077,            0.001552,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004951,            0.004951,            0.004951
                 155,            0.022366,            0.016995,           0.0020353,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004918,            0.004918,            0.004918
                 156,            0.023328,            0.018111,           0.0012845,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004885,            0.004885,            0.004885
                 157,            0.024105,            0.018619,           0.0011373,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                 158,            0.023432,            0.017619,           0.0021743,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004819,            0.004819,            0.004819
                 159,            0.023679,            0.018124,           0.0014027,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004786,            0.004786,            0.004786
                 160,            0.024281,            0.016654,           0.0019032,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004753,            0.004753,            0.004753
                 161,            0.025203,            0.018525,           0.0015797,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00472,             0.00472,             0.00472
                 162,             0.02139,             0.01771,           0.0014582,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004687,            0.004687,            0.004687
                 163,            0.024271,             0.01811,           0.0024902,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                 164,            0.022718,            0.018225,            0.001367,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004621,            0.004621,            0.004621
                 165,            0.023202,            0.017767,           0.0022267,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004588,            0.004588,            0.004588
                 166,            0.023774,            0.017011,           0.0021771,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
                 167,            0.023481,            0.018047,           0.0019622,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004522,            0.004522,            0.004522
                 168,            0.021792,            0.018488,           0.0012047,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004489,            0.004489,            0.004489
                 169,            0.022564,            0.016214,           0.0017041,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                 170,            0.023543,            0.016454,           0.0010922,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004423,            0.004423,            0.004423
                 171,            0.025633,            0.019455,           0.0032227,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00439,             0.00439,             0.00439
                 172,            0.024506,            0.018607,           0.0014585,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004357,            0.004357,            0.004357
                 173,            0.023515,            0.016526,           0.0010636,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004324,            0.004324,            0.004324
                 174,            0.021847,            0.016518,           0.0028986,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004291,            0.004291,            0.004291
                 175,            0.022588,            0.017301,           0.0032528,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                 176,             0.02242,            0.018073,           0.0040326,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004225,            0.004225,            0.004225
                 177,            0.021589,            0.017273,           0.0023334,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004192,            0.004192,            0.004192
                 178,            0.021065,            0.019256,           0.0023893,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004159,            0.004159,            0.004159
                 179,            0.019721,            0.018303,            0.001432,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004126,            0.004126,            0.004126
                 180,            0.020686,            0.017866,           0.0021344,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004093,            0.004093,            0.004093
                 181,            0.021131,            0.016872,           0.0018312,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                 182,             0.02406,            0.016631,           0.0018086,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.004027,            0.004027,            0.004027
                 183,            0.023717,            0.015778,           0.0028627,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003994,            0.003994,            0.003994
                 184,            0.021336,            0.017193,           0.0011846,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003961,            0.003961,            0.003961
                 185,            0.021212,            0.017983,           0.0015625,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003928,            0.003928,            0.003928
                 186,            0.022102,            0.017418,           0.0023203,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.003895,            0.003895,            0.003895
